Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,Third Party System Error,6,0,0,6
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,unknown,19,1,0,18
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Drops,3462,0,0,3462
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Fraud Risk,3,0,0,3
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Generic Rejection,2,0,0,2
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Insufficient Funds,24,0,0,24
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,NOT MAPPED,8641,8181,455,5
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Payment Instrument Issues,102,0,0,102
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,Third Party System Error,7,0,0,7
2026-01,Foodora,Hungary,CIT,Credit Card,credit_card,unknown,23,0,0,23
2026-01,Foodora,Hungary,MIT,Alternative Payment Method,invoice,NOT MAPPED,1279,1279,0,0
2026-01,Foodora,Hungary,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,3,3,0,0
2026-01,Foodora,Hungary,MIT,Alternative Payment Method,no_payment_method,Technical Issues,672,0,0,672
2026-01,Foodora,Hungary,MIT,Alternative Payment Method,no_payment_method,unknown,10,0,0,10
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Drops,7,0,0,7
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Fraud Risk,2,0,0,2
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Generic Rejection,265,0,0,265
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Insufficient Funds,1627,0,0,1627
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,NOT MAPPED,13039,12495,544,0
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Payment Instrument Issues,613,0,0,613
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,Third Party System Error,64,0,0,64
2026-01,Foodora,Hungary,MIT,Credit Card,applepay,unknown,62,53,6,3
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Drops,233,0,0,233
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Fraud Risk,3,0,0,3
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Generic Rejection,26,0,0,26
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Insufficient Funds,1769,0,0,1769
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,NOT MAPPED,28833,27624,1205,4
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Payment Instrument Issues,1399,0,0,1399
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,Third Party System Error,125,0,0,125
2026-01,Foodora,Hungary,MIT,Credit Card,credit_card,unknown,182,171,8,3
2026-01,Foodora,Norway,CIT,Alternative Payment Method,invoice,NOT MAPPED,11,11,0,0
2026-01,Foodora,Norway,CIT,Alternative Payment Method,klarna,Drops,92,0,0,92
2026-01,Foodora,Norway,CIT,Alternative Payment Method,klarna,NOT MAPPED,1866,1865,1,0
2026-01,Foodora,Norway,CIT,Alternative Payment Method,klarna,Payment Instrument Issues,92,0,0,92
